DCI	roce	
3299		5.259 7.695 189.507	18.759 123.693 363.565
6614		5.864 18.685 127.388	27.259 16.840 859.674
11098		13.940 11.553 578.623	44.358 577.744 665.752
20636		15.926 34.967 755.527	24.311 167.617 454.992
24886		3.425 18.931 52.694	26.745 160.844 697.300
31608		7.054 36.434 164.890	22.467 244.914 396.771
42132		2.942 6.138 33.845	47.212 572.479 650.070
52478		12.814 122.365 199.446	13.108 53.433 242.913
64158		3.903 22.984 64.725	61.913 652.482 1317.220
77230		5.204 26.675 73.402	45.846 225.523 1147.910
140360		33.227 13.567 2040.100	37.248 129.589 933.604
262014		20.971 21.957 762.160	10.354 45.110 156.045
674170		6.399 39.948 156.879	10.989 51.910 271.597
1027715		22.268 7.354 1338.180	17.937 173.851 381.425
1491989		21.890 34.838 670.750	2.597 10.144 23.038
1946656		21.888 84.013 813.478	5.068 23.840 61.491
3299164		24.026 109.965 495.219	15.028 60.961 287.788
4873681		10.228 10.836 286.654	14.967 81.226 298.239
8597345		3.057 4.333 71.732	28.631 50.626 865.636
29622222		21.611 163.770 202.606	12.885 87.178 144.969
